No Kel Layanan;MDC;Kelompok layanan;"Kode
ICD";Deskripsi ICD/Nama Penyakit;"Tujuan
Kompetensi"
6;24;Kelompok Layanan Ibu dan Ginekologi;71.4;Operations on clitoris;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;71.61;Unilateral vulvectomy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;71.72;Repair of fistula of vulva or perineum;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;71.9;Other operations on female genital organs;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;75.1;Diagnostic amniocentesis;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;75.37;Amnioinfusion;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;75.61;Repair of current obstetric laceration of bladder and urethra;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;A34;Obstetrical tetanus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C51.0;Malignant neoplasm, labium majus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C51.1;Malignant neoplasm, labium minus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C51.2;Malignant neoplasm, clitoris;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C51.8;Malignant neoplasm, overlapping lesion of vulva;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C51.9;Malignant neoplasm, vulva, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C52;Malignant neoplasm of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C53.0;Malignant neoplasm, endocervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C53.1;Malignant neoplasm, exocervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C53.8;Malignant neoplasm, overlapping lesion of cervix uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C53.9;Malignant neoplasm, cervix uteri, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.0;Malignant neoplasm, isthmus uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.1;Malignant neoplasm, endometrium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.2;Malignant neoplasm, myometrium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.3;Malignant neoplasm, fundus uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.8;Malignant neoplasm, overlapping lesion of corpus uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C54.9;Malignant neoplasm, corpus uteri, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C55;Malignant neoplasm of uterus, part unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C56;Malignant neoplasm of ovary;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.0;Malignant neoplasm, fallopian tube;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.1;Malignant neoplasm, broad ligament;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.2;Malignant neoplasm, round ligament;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.3;Malignant neoplasm, parametrium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.4;Malignant neoplasm, uterine adnexa, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.7;Malignant neoplasm, other specified female genital organs;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.8;"Malignant neoplasm, overlapping lesion of female genital
organs";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C57.9;Malignant neoplasm, female genital organ, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C58;Malignant neoplasm of placenta;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C76.3;Malignant neoplasm, pelvis;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;C79.6;Secondary malignant neoplasm of ovary;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D06.7;Carcinoma in situ of other parts of cervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D06.9;Carcinoma in situ of cervix, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D07.0;Carcinoma in situ of endometrium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D07.1;Carcinoma in situ of vulva;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D07.2;Carcinoma in situ of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D07.3;"Carcinoma in situ of other and unspecified female genital
organs";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D39.0;Neoplasm of uncertain or unknown behaviour of uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D39.1;Neoplasm of uncertain or unknown behaviour of ovary;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D39.2;Neoplasm of uncertain or unknown behaviour of placenta;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D39.7;"Neoplasm of uncertain or unknown behaviour of other female
genital organs";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;D39.9;"Neoplasm of uncertain or unknown behaviour of female genital
organ, unspecified";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E28.0;Estrogen excess;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E28.1;Androgen excess;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E28.3;Primary ovarian failure;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E28.8;Other ovarian dysfunction;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E28.9;Ovarian dysfunction, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;E89.4;Postprocedural ovarian failure;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N80.4;Endometriosis of rectovaginal septum and vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N80.6;Endometriosis in cutaneous scar;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N80.7;Pelvic endometriosis (IM);Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N80.8;Other endometriosis;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N80.9;Endometriosis, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.0;Female urethrocele;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.1;Cystocele;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.2;Incomplete uterovaginal prolapse;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.3;Complete uterovaginal prolapse;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.4;Uterovaginal prolapse, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.5;Vaginal enterocele;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.6;Rectocele;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.7;Cystorectocele (IM);Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.8;Other female genital prolapse;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N81.9;Female genital prolapse, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N82.0;Vesicovaginal fistula;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N82.1;Other female urinary-genital tract fistulae;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N83.3;Acquired atrophy of ovary and fallopian tube;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N85.5;Inversion of uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N88.4;Hypertrophic elongation of cervix uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.0;Mild vaginal dysplasia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.1;Moderate vaginal dysplasia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.2;Severe vaginal dysplasia, not elsewhere classified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.3;Dysplasia of vagina, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.4;Leukoplakia of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.5;Stricture and atresia of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N89.6;Tight hymenal ring;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N90.0;Mild vulvar dysplasia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N90.1;Moderate vulvar dysplasia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N90.2;Severe vulvar dysplasia, not elsewhere classified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N90.3;Dysplasia of vulva, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N90.4;Leukoplakia of vulva;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N91.0;Primary amenorrhoea;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N94.2;Vaginismus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N96;Habitual aborter;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N98.1;Hyperstimulation of ovaries;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N98.2;"Complications attempted introduction fertilized ovum following
in vitro fertilization";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N98.3;"Complications attempted introduction of embryo in embryo
transfer";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N98.8;Other complications associated with artificial fertilization;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N98.9;Complication associated with artificial fertilization, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N99.2;Postoperative adhesions of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;N99.3;Prolapse of vaginal vault after hysterectomy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O00.0;Abdominal pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O03.1;"Spontaneous abortion, incomplete abortion complicated by
delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O03.2;Spontaneous abortion, incomplete, complicated by embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O03.6;"Spontaneous abortion, complete or unspecified, complicated
by delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O03.7;"Spontaneous abortion, complete or unspecified, complicated
by embolism";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O04.1;"Medical abortion, incomplete, complicated by delayed or
excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O04.2;Medical abortion, incomplete, complicated by embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O04.6;"Medical abortion, complete or unspecified, complicated by
delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O04.7;"Medical abortion, complete or unspecified, complicated by
embolism";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O05.1;"Other abortion, incomplete, complicated by delayed or
excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O05.2;Other abortion, incomplete, complicated by embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O05.6;"Other abortion, complete or unspecified, complicated by
delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O05.7;"Other abortion, complete or unspecified, complicated by
embolism";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O06.1;"Unspecified abortion, incomplete, complicated by delayed or
excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O06.2;Unspecified abortion, incomplete, complicated by embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O06.6;"Unspecified abortion, complete or unspecified, complicated by
delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O06.7;"Unspecified abortion, complete or unspecified, complicated by
embolism";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O07.1;"Failed medical abortion complicated by delayed or excessive
haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O07.2;Failed medical abortion, complicated by embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O07.6;"Other and unspecified failed attempted abortion, complicated
by delayed or excessive haemorrhage";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O07.7;"Other and unspecified failed attempted abortion, complicated
by embolism";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O08.2;Embolism following abortion and ectopic and molar pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O08.3;Shock following abortion and ectopic and molar pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O10.1;"Pre-existing hypertensive heart disease complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O10.2;"Pre-existing hypertensive renal disease complicating
pregnancy, childbirth and puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O10.3;"Pre-existing hypertensive heart and renal disease
complicating pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O14.2;HELLP syndrome;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O15.0;Eclampsia in pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O15.1;Eclampsia in labour;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O15.9;Eclampsia, unspecified as to time period;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O20.8;Other haemorrhage in early pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O23.0;Infections of kidney in pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O24.0;Pre-existing diabetes mellitus, insulin-dependent;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O24.2;Pre-existing malnutrition-related diabetes mellitus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O26.6;Liver disorders in pregnancy, childbirth and the puerperium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O26.7;"Subluxation of symphysis pubis in pregnancy, childbirth and
the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.0;"Abnormal haematological finding on antenatal screening of
mother";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.1;"Abnormal biochemical finding on antenatal screening of
mother";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.2;Abnormal cytological finding on antenatal screening of mother;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.3;Abnormal ultrasonic finding on antenatal screening of mother;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.8;Other abnormal findings on antenatal screening of mother;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O28.9;"Abnormal finding on antenatal screening of mother,
unspecified";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.0;Pulmonary complications of anaesthesia during pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.1;Cardiac complications of anaesthesia during pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.2;"Central nervous system complications of anaesthesia during
pregnancy";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.3;Toxic reaction to local anaesthesia during pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.6;Failed or difficult intubation during pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.8;Other complications of anaesthesia during pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O29.9;Complication of anaesthesia during pregnancy, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O30.0;Twin pregnancy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O32.5;"Maternal care for multiple gestation with malpresentation of
one fetus or more";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.0;Maternal care for congenital malformation of uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.1;Maternal care for tumour of corpus uteri;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.3;Maternal care for cervical incompetence;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.4;Maternal care for other abnormalities of cervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.5;Maternal care for other abnormalities of gravid uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.6;Maternal care for abnormality of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O34.7;Maternal care for abnormality of vulva and perineum;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.0;Maternal care for rhesus isoimmunization;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.1;Maternal care for other isoimmunization;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.5;Maternal care for poor fetal growth;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.6;Maternal care for excessive fetal growth;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.8;Maternal care for other specified fetal problems;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O36.9;Maternal care for fetal problem, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O40;Polyhydramnios;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O43.9;Placental disorder, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O45.8;Other premature separation of placenta;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O45.9;Premature separation of placenta, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O60.1;Preterm labour with preterm delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O63.2;Delayed delivery of second twin, triplet, etc;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O66.1;Obstructed labour due to locked twins;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O67.0;Intrapartum haemorrhage with coagulation defect;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O71.0;Rupture of uterus before onset of labour;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.0;"Aspiration pneumonitis due to anaesthesia during labour and
delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.1;"Other pulmonary complications anaesthesia during labour and
delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.2;"Cardiac complications of anaesthesia during labour and
delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.3;"Central nervous system complications of anaesthesia during
labour and delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.4;Toxic reaction to local anaesthesia during labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.5;"Spinal and epidural anaesthesia-induced headache during
labour and delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.6;"Other complications of spinal and epidural anaesthesia during
labour and delivery";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.7;Failed or difficult intubation during labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.8;Other complications of anaesthesia during labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O74.9;"Complication of anaesthesia during labour and delivery,
unspecified";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O75.0;Maternal distress during labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O75.1;Shock during or following labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O75.4;Other complications of obstetric surgery and procedures;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O75.8;Other specified complications of labour and delivery;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O88.0;Obstetric air embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O88.1;Amniotic fluid embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O88.2;Obstetric blood-clot embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O88.3;Obstetric pyaemic and septic embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O88.8;Other obstetric embolism;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O89.3;Toxic reaction to local anaesthesia during the puerperium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O89.6;Failed or difficult intubation during the puerperium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O89.8;Other complications of anaesthesia during the puerperium;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O89.9;"Complication of anaesthesia during the puerperium,
unspecified";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O90.8;"Other complications of the puerperium, not elsewhere
classified";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O90.9;Complication of the puerperium, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O95;Obstetric death of unspecified cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O96.0;Death from direct obstetric cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O96.1;Death from indirect obstetric cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O96.9;Death from unspecified obstetric cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O97.0;Death from sequelae of direct obstetric cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O97.1;Death from sequelae of indirect obstetric cause;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O97.9;Death from sequelae of obstetric cause, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.0;"Tuberculosis complicating pregnancy, childbirth and the
puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.4;"Viral hepatitis complicating pregnancy, childbirth and the
puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.5;"Other viral diseases complicating pregnancy, childbirth and the
puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.6;"Protozoal diseases complicating pregnancy, childbirth and the
puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.7;"Human immunodeficiency [HIV] disease complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.8;"Other maternal infectious parasitic diseases complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O98.9;"Unspecified maternal infectious parasitic disease complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.1;"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
complicating pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.2;"Endocrine, nutritional metabolic diseases complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.4;"Diseases of the circulatory system complicating pregnancy,
childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.5;"Diseases of the respiratory system complicating pregnancy,
childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.6;"Diseases of the digestive system complicating pregnancy,
childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;O99.8;"Other specified diseases and conditions complicating
pregnancy, childbirth and the puerperium";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q50.0;Congenital absence of ovary;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.0;Agenesis and aplasia of uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.1;Doubling of uterus with doubling of cervix and vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.2;Other doubling of uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.3;Bicornate uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.4;Unicornate uterus;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.5;Agenesis and aplasia of cervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.7;"Congenital fistulae btwn uterus and digestive and urinary
tracts";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.8;Other congenital malformations of uterus and cervix;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q51.9;Congenital malformation of uterus and cervix, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.0;Congenital absence of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.1;Doubling of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.2;Congenital rectovaginal fistula;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.4;Other congenital malformations of vagina;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.5;Fusion of labia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.6;Congenital malformation of clitoris;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.7;Other congenital malformations of vulva;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.8;Other specified congenital malformations of female genitalia;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q52.9;Congenital malformation of female genitalia, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q56.2;Female pseudohermaphroditism, not elsewhere classified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.0;Karyotype 45x;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.1;Karyotype 46x iso (xq);Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.2;"Karyotype 46x with abnormal sex chromosome, except iso
(Xq)";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.3;Mosaicism, 45, x/46, xx or xy;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.4;Mosaicism 45x/oth cell line(s) with abnorm sex chromosome;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.8;Other variants of turner's syndrome;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q96.9;Turner's syndrome, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.0;Karotype 47, XXX;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.1;Female with more than three x chromosomes;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.2;Mosaicism, lines with various numbers of x chromosomes;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.3;Female with 46, XY karyotype;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.8;"Other specified sex chromosome abnormalities female
phrenotype";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q97.9;Sex chromosome abnormality, female phenotype, unspecified;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q99.2;Fragile x chromosome;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Q99.8;Other specified chromosome abnormalities;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;S38.2;Traumatic amputation of external genital organs;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;T83.3;Mechanical complication of intrauterine contraceptive device;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z31.0;Tuboplasty or vasoplasty after previous sterilization;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.1;Antenatal screening for raised alphafetoprotein level;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.2;Other antenatal screening based on amniocentesis;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.3;"Antenatal screening malformation using ultrasound and other
physical methods";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.4;"Antenatal screening fetal growth retardation using ultrasound
oth physical methods";Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.5;Antenatal screening for isoimmunization;Utama
6;24;Kelompok Layanan Ibu dan Ginekologi;Z36.8;Other antenatal screening;Utama
